Sample,US to DS (1 = furthest us),group,Distance,Sample_info,Sample,Site Location,Long,Lat,Density of quagga found at site,Cq_value_1,Cq_value_2,Cq_value_3,Avg. Cq values,copies/rxn,CopiesULsample,copies for 10ul of sample
170,2,2,20,Reservoir outfall,1a,TQ 03043 74214,51.457536,-0.51827824,N/A,24.555628,24.496197,24.498955,24.516928,748.8272334,374.4136167,3744.136167
171,2,2,20,Reservoir outfall,1b,TQ 03043 74214,51.457536,-0.51827824,N/A,23.368225,23.637444,23.524828,23.510164,1593.913933,796.9569666,7969.569666
172,2,2,20,Reservoir outfall,1c,TQ 03043 74214,51.457536,-0.51827824,N/A,24.933474,24.97799,25.358086,25.08985,248.867284,124.433642,1244.33642
212,3,1,610,Wraysbury Weir,1a,TQ 02899 73637,51.452376,-0.52051778,14,16.06735,15.979008,16.125599,16.05732,3466418.498,1733209.249,12097034.59
213,3,1,610,Wraysbury Weir,1b,TQ 02899 73637,51.452376,-0.52051778,14,18.40774,18.482557,18.488495,18.459597,2671872.472,1335936.236,11352331.46
214,3,1,610,Wraysbury Weir,1c,TQ 02899 73637,51.452376,-0.52051778,14,18.474028,18.368221,18.39708,18.413109,2757837.82,1378918.91,8818585.544
215,3,1,610,Wraysbury Weir,2a,TQ 02899 73637,51.452376,-0.52051778,14,16.262213,16.14698,16.358213,16.255804,3017513.054,1508756.527,8898553.18
216,3,1,610,Wraysbury Weir,2b,TQ 02899 73637,51.452376,-0.52051778,14,18.854803,18.904501,19.001516,18.920273,1952223.161,976111.5805,13359362.36
217,3,1,610,Wraysbury Weir,2c,TQ 02899 73637,51.452376,-0.52051778,14,18.398512,18.625383,18.546324,18.523407,2558221.781,1279110.89,13789189.1
218,3,1,610,Wraysbury Weir,3a,TQ 02899 73637,51.452376,-0.52051778,14,16.557955,16.593987,16.61594,16.589294,2390278.37,1195139.185,9761115.805
219,3,1,610,Wraysbury Weir,3b,TQ 02899 73637,51.452376,-0.52051778,14,18.954412,18.917278,19.01814,18.963278,1895862.661,947931.3304,12791108.9
220,3,1,610,Wraysbury Weir,3c,TQ 02899 73637,51.452376,-0.52051778,14,17.145727,17.001766,17.199368,17.115622,1654738.231,827369.1157,9479313.304
221,3,1,610,Wraysbury Weir,4a,TQ 02899 73637,51.452376,-0.52051778,14,19.363966,19.318079,19.532158,19.404734,1403481.357,701740.6786,7017406.786
222,3,1,610,Wraysbury Weir,4b,TQ 02899 73637,51.452376,-0.52051778,14,19.65424,19.610096,19.738512,19.667616,1173371.965,586685.9825,5866859.825
223,3,1,610,Wraysbury Weir,4c,TQ 02899 73637,51.452376,-0.52051778,14,19.487972,19.562574,19.568768,19.53977,1280140.489,640070.2447,6400702.447
224,3,1,610,Wraysbury Weir,5a,TQ 02899 73637,51.452376,-0.52051778,14,18.864563,18.82172,18.978783,18.888355,1995134.017,997567.0087,9975670.087
225,3,1,610,Wraysbury Weir,5b,TQ 02899 73637,51.452376,-0.52051778,14,18.886528,19.031487,18.973186,18.963734,1895273.849,947636.9245,9476369.245
226,3,1,610,Wraysbury Weir,5c,TQ 02899 73637,51.452376,-0.52051778,14,19.681242,19.64763,19.690266,19.673048,1635868.602,817934.3011,8179343.011
227,3,1,610,Wraysbury Weir,6a,TQ 02899 73637,51.452376,-0.52051778,14,18.820004,18.880466,18.861633,18.854034,2846431.025,1423215.513,14232155.13
228,3,1,610,Wraysbury Weir,6b,TQ 02899 73637,51.452376,-0.52051778,14,20.630064,20.632135,20.820938,20.69438,840171.4406,420085.7203,4200857.203
229,3,1,610,Wraysbury Weir,6c,TQ 02899 73637,51.452376,-0.52051778,14,19.875662,19.744658,19.828499,19.816275,1441786.819,720893.4093,7208934.093
194,4,1,1100,Wraysbury Bridge,1a,TQ 02679 73200,51.448488,-0.52380946,4,22.275263,22.407644,22.449703,22.377535,41874.75952,20937.37976,79168.41638
195,4,1,1100,Wraysbury Bridge,1b,TQ 02679 73200,51.448488,-0.52380946,4,18.965275,18.99022,19.1857,19.047064,720025.2362,360012.6181,43003.99073
196,4,1,1100,Wraysbury Bridge,1c,TQ 02679 73200,51.448488,-0.52380946,4,19.799662,19.818403,19.860226,19.826096,442848.1435,221424.0718,53125.13496
197,4,1,1100,Wraysbury Bridge,2a,TQ 02679 73200,51.448488,-0.52380946,4,24.551756,24.219934,24.408678,24.393456,10237.69398,5118.846992,42404.21176
198,4,1,1100,Wraysbury Bridge,2b,TQ 02679 73200,51.448488,-0.52380946,4,19.220266,19.268187,19.337778,19.275412,624414.0612,312207.0306,73372.55983
199,4,1,1100,Wraysbury Bridge,2c,TQ 02679 73200,51.448488,-0.52380946,4,18.800133,18.669724,18.865839,18.778564,851339.2901,425669.6451,14112.8277
200,4,1,1100,Wraysbury Bridge,3a,TQ 02679 73200,51.448488,-0.52380946,4,19.108866,19.142338,19.064388,19.105196,412073.1938,206036.5969,36084.74284
201,4,1,1100,Wraysbury Bridge,3b,TQ 02679 73200,51.448488,-0.52380946,4,18.60329,18.590384,18.737976,18.643885,925968.9023,462984.4512,46843.69904
202,4,1,1100,Wraysbury Bridge,3c,TQ 02679 73200,51.448488,-0.52380946,4,20.424385,20.50868,20.417542,20.450203,688518.1271,344259.0636,60113.77024
203,4,1,1100,Wraysbury Bridge,4a,TQ 02679 73200,51.448488,-0.52380946,4,17.916758,17.926289,18.063122,17.968721,911692.5128,455846.2564,3600126.181
204,4,1,1100,Wraysbury Bridge,4b,TQ 02679 73200,51.448488,-0.52380946,4,19.014101,19.079834,19.0251,19.039679,1799717.84,899858.9202,2214240.718
205,4,1,1100,Wraysbury Bridge,4c,TQ 02679 73200,51.448488,-0.52380946,4,19.298689,19.340523,19.28687,19.308693,1498371.114,749185.5569,3122070.306
206,4,1,1100,Wraysbury Bridge,5a,TQ 02679 73200,51.448488,-0.52380946,4,16.546982,16.567383,16.555597,16.556654,2445419.643,1222709.821,4256696.451
207,4,1,1100,Wraysbury Bridge,5b,TQ 02679 73200,51.448488,-0.52380946,4,18.813335,18.725187,18.668518,18.735682,2213802.191,1106901.096,4629844.512
208,4,1,1100,Wraysbury Bridge,5c,TQ 02679 73200,51.448488,-0.52380946,4,18.693308,18.599998,18.52261,18.605307,2419406.918,1209703.459,3442590.636
209,4,1,1100,Wraysbury Bridge,6a,TQ 02679 73200,51.448488,-0.52380946,4,18.684885,18.604284,18.806572,18.69858,2270466.293,1135233.146,8998589.202
210,4,1,1100,Wraysbury Bridge,6b,TQ 02679 73200,51.448488,-0.52380946,4,18.960754,18.98328,19.26399,19.069342,1763717.109,881858.5544,7491855.569
211,4,1,1100,Wraysbury Bridge,6c,TQ 02679 73200,51.448488,-0.52380946,4,19.03069,19.084663,19.052914,19.05609,1779710.636,889855.318,11069010.96
