,X.OTU,taxonomy,DH..FilterBlk3.nc.blast,DH..PCRBlk3.nc.blast,DH..PCRBlk4.nc.blast,DP..FilterBlk1.nc.blast,DP..PCRBlk1.nc.blast,DP..PCRBlk2.nc.blast,DV..FilterBlk5.nc.blast,DV..PCRBlk5.nc.blast,DV..PCRBlk6.nc.blast,Other..FilterBlk2.nc.blast,Other..FilterBlk4.nc.blast,Other..FilterBlk6.nc.blast,DRB..Positive10.nc.blast,DRB..Positive11.nc.blast,DRB..Positive12.nc.blast,DRB..Sample1a..WGN.nc.blast,DRB..Sample1a..WWE.nc.blast,DRB..Sample1a..WWK.nc.blast,DRB..Sample1b..WGN.nc.blast,DRB..Sample1b..WWE.nc.blast,DRB..Sample1b..WWK.nc.blast,DRB..Sample1c..WGN.nc.blast,DRB..Sample1c..WWE.nc.blast,DRB..Sample1c..WWK.nc.blast,DRB..Sample2a..WGN.nc.blast,DRB..Sample2a..WWE.nc.blast,DRB..Sample2a..WWK.nc.blast,DRB..Sample2b..WGN.nc.blast,DRB..Sample2b..WWE.nc.blast,DRB..Sample2b..WWK.nc.blast,DRB..Sample2c..WGN.nc.blast,DRB..Sample2c..WWE.nc.blast,DRB..Sample2c..WWK.nc.blast,DRB..Sample3a..WGN.nc.blast,DRB..Sample3a..WWE.nc.blast,DRB..Sample3a..WWK.nc.blast,DRB..Sample3b..WGN.nc.blast,DRB..Sample3b..WWE.nc.blast,DRB..Sample3b..WWK.nc.blast,DRB..Sample3c..WGN.nc.blast,DRB..Sample3c..WWE.nc.blast,DRB..Sample3c..WWK.nc.blast,DRB..Sample4a..WGN.nc.blast,DRB..Sample4a..WWE.nc.blast,DRB..Sample4a..WWK.nc.blast,DRB..Sample4b..WGN.nc.blast,DRB..Sample4b..WWE.nc.blast,DRB..Sample4b..WWK.nc.blast,DRB..Sample4c..WGN.nc.blast,DRB..Sample4c..WWE.nc.blast,DRB..Sample4c..WWK.nc.blast,DRB..Sample5a..WGN.nc.blast,DRB..Sample5a..WWE.nc.blast,DRB..Sample5a..WWK.nc.blast,DRB..Sample5b..WGN.nc.blast,DRB..Sample5b..WWE.nc.blast,DRB..Sample5b..WWK.nc.blast,DRB..Sample5c..WGN.nc.blast,DRB..Sample5c..WWE.nc.blast,DRB..Sample5c..WWK.nc.blast,DRB..Sample6a..WGN.nc.blast,DRB..Sample6a..WWE.nc.blast,DRB..Sample6a..WWK.nc.blast,DRB..Sample6b..WGN.nc.blast,DRB..Sample6b..WWE.nc.blast,DRB..Sample6b..WWK.nc.blast,DRB..Sample6c..WGN.nc.blast,DRB..Sample6c..WWE.nc.blast,DRB..Sample6c..WWK.nc.blast,
1,unassigned,['__unassigned'],0,0,0,0,0,0,42,0,0,0,189,0,1653,0,14,4983,23068,20280,5999,4216,10172,12131,3633,3721,0,3384,25677,14091,4039,4034,7432,5052,9486,3972,7384,8452,9055,5344,5989,11227,11337,4037,7834,6189,4985,18160,2749,4834,10663,3949,3557,5160,4697,7289,3580,4134,10654,4437,9633,9352,5900,7705,7212,7051,17039,4626,6212,7485,230,
2,Didymella_pinodes,"['k__Fungi', 'p__Ascomycota', 'c__Dothideomycetes', 'o__Pleosporales', 'f__Didymellaceae', 'g__Didymella', 's__Didymella_pinodes']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
3,Penicillium_sclerotiorum,"['k__Fungi', 'p__Ascomycota', 'c__Eurotiomycetes', 'o__Eurotiales', 'f__Aspergillaceae', 'g__Penicillium', 's__Penicillium_sclerotiorum']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,Rhynchosporium_orthosporum,"['k__Fungi', 'p__Ascomycota', 'c__Leotiomycetes', 'o__Helotiales', 'f__unknown', 'g__Rhynchosporium', 's__Rhynchosporium_orthosporum']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6,Candida_sake,"['k__Fungi', 'p__Ascomycota', 'c__Saccharomycetes', 'o__Saccharomycetales', 'f__unknown', 'g__Candida', 's__Candida_sake']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
7,Colletotrichum,"['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Glomerellales', 'f__Glomerellaceae', 'g__Colletotrichum']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,105,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
9,Calonectria_colhounii,"['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Hypocreales', 'f__Nectriaceae', 'g__Calonectria', 's__Calonectria_colhounii']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
12,Fusarium,"['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Hypocreales', 'f__Nectriaceae', 'g__Fusarium']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,19
17,Hypocreales,"['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Hypocreales']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,23
18,Thermothelomyces_thermophila,"['k__Fungi', 'p__Ascomycota', 'c__Sordariomycetes', 'o__Sordariales', 'f__Chaetomiaceae', 'g__Thermothelomyces', 's__Thermothelomyces_thermophila']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
