#OTU,taxonomy,DRB--Positive10-nc.blast,DRB--Positive11-nc.blast,DRB--Positive12-nc.blast,DRB--Sample1a--WGN-nc.blast,DRB--Sample1a--WWE-nc.blast,DRB--Sample1a--WWK-nc.blast,DRB--Sample1b--WGN-nc.blast,DRB--Sample1b--WWE-nc.blast,DRB--Sample1b--WWK-nc.blast,DRB--Sample1c--WGN-nc.blast,DRB--Sample1c--WWE-nc.blast,DRB--Sample1c--WWK-nc.blast,DRB--Sample2a--WGN-nc.blast,DRB--Sample2a--WWE-nc.blast,DRB--Sample2a--WWK-nc.blast,DRB--Sample2b--WGN-nc.blast,DRB--Sample2b--WWE-nc.blast,DRB--Sample2b--WWK-nc.blast,DRB--Sample2c--WGN-nc.blast,DRB--Sample2c--WWE-nc.blast,DRB--Sample2c--WWK-nc.blast,DRB--Sample3a--WGN-nc.blast,DRB--Sample3a--WWE-nc.blast,DRB--Sample3a--WWK-nc.blast,DRB--Sample3b--WGN-nc.blast,DRB--Sample3b--WWE-nc.blast,DRB--Sample3b--WWK-nc.blast,DRB--Sample3c--WGN-nc.blast,DRB--Sample3c--WWE-nc.blast,DRB--Sample3c--WWK-nc.blast,DRB--Sample4a--WGN-nc.blast,DRB--Sample4a--WWE-nc.blast,DRB--Sample4a--WWK-nc.blast,DRB--Sample4b--WGN-nc.blast,DRB--Sample4b--WWE-nc.blast,DRB--Sample4b--WWK-nc.blast,DRB--Sample4c--WGN-nc.blast,DRB--Sample4c--WWE-nc.blast,DRB--Sample4c--WWK-nc.blast,DRB--Sample5a--WGN-nc.blast,DRB--Sample5a--WWE-nc.blast,DRB--Sample5a--WWK-nc.blast,DRB--Sample5b--WGN-nc.blast,DRB--Sample5b--WWE-nc.blast,DRB--Sample5b--WWK-nc.blast,DRB--Sample5c--WGN-nc.blast,DRB--Sample5c--WWE-nc.blast,DRB--Sample5c--WWK-nc.blast,DRB--Sample6a--WGN-nc.blast,DRB--Sample6a--WWE-nc.blast,DRB--Sample6a--WWK-nc.blast,DRB--Sample6b--WGN-nc.blast,DRB--Sample6b--WWE-nc.blast,DRB--Sample6b--WWK-nc.blast,DRB--Sample6c--WGN-nc.blast,DRB--Sample6c--WWE-nc.blast,DRB--Sample6c--WWK-nc.blast
Acanthocyclops,"['k__Metazoa', 'p__Arthropoda', 'c__Maxillopoda', 'o__Cyclopoida', 'f__Cyclopidae', 'g__Acanthocyclops']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthocyclops_vernalis,"['k__Metazoa', 'p__Arthropoda', 'c__Maxillopoda', 'o__Cyclopoida', 'f__Cyclopidae', 'g__Acanthocyclops', 's__Acanthocyclops_vernalis']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthosoma_haemorrhoidale,"['k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hemiptera', 'f__Acanthosomatidae', 'g__Acanthosoma', 's__Acanthosoma_haemorrhoidale']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achlya,"['k__unknown', 'p__unknown', 'c__Oomycetes', 'o__Saprolegniales', 'f__Saprolegniaceae', 'g__Achlya']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinopteri,"['k__Metazoa', 'p__Chordata', 'c__Actinopteri']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Agapetus_fuscipes,"['k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Trichoptera', 'f__Glossosomatidae', 'g__Agapetus', 's__Agapetus_fuscipes']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphinemura_standfussi,"['k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Plecoptera', 'f__Nemouridae', 'g__Amphinemura', 's__Amphinemura_standfussi']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatidae,"['k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Anseriformes', 'f__Anatidae']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilliformes,"['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Anguilliformes']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anser,"['k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Anseriformes', 'f__Anatidae', 'g__Anser']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphanomyces,"['k__unknown', 'p__unknown', 'c__Oomycetes', 'o__Saprolegniales', 'f__Saprolegniaceae', 'g__Aphanomyces']",0,0,0,0,0,7,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
